osm_id,registered_name,category_group,specific_type,latitude,longitude,district
6683021585,"tls 529049","Hotels & Hospitality",viewpoint,9.55609,44.07051,"Hargeisa"
6683025885,"tls Tawer Qunyar daga","Hotels & Hospitality",viewpoint,9.59843,44.05196,"Hargeisa"
6693547785,"Ahmed Yonis Guest House","Hotels & Hospitality",guest_house,9.57205,44.04569,"Hargeisa"
6726460886,"حاج يوسف طاهر","Hotels & Hospitality",guest_house,9.54219,44.0642,"Siinay Road"
6744098488,"tls poin to poin","Hotels & Hospitality",viewpoint,9.58302,44.01645,"Hargeisa"
6763291385,"TLS 529302","Hotels & Hospitality",viewpoint,9.55418,44.0773,"Hargeisa"
6784962285,"TLS 517470","Hotels & Hospitality",viewpoint,9.57777,44.04759,"Hargeisa"
6787615885,"TLS 567047","Hotels & Hospitality",viewpoint,9.51884,44.06713,"Hargeisa"
6787692089,"TLS 565881","Hotels & Hospitality",viewpoint,9.54308,44.06091,"Hargeisa"
6787764586,"TLS 561161","Hotels & Hospitality",viewpoint,9.54831,44.06461,"Hargeisa"
6796366886,"TLS POINT TO POINT","Hotels & Hospitality",viewpoint,9.52176,44.06888,"Hargeisa"
6825006685,"TLS jameeco WEYN","Hotels & Hospitality",viewpoint,9.5635,44.06596,"Hargeisa"
6832035888,"Guriga cusub en jeexnay","Hotels & Hospitality",apartment,9.56443,44.0083,"Hargeisa"
6834062696,"Tawakal Hotel","Hotels & Hospitality",hotel,9.56149,44.06286,"Road Number 1 / طريق رقم 1"
6901831288,"TLS POINT POINTS","Hotels & Hospitality",viewpoint,9.53211,44.10394,"Hargeisa"
6942452085,"aloore guess house","Hotels & Hospitality",guest_house,9.52276,44.07579,"Hargeisa"
6970276485,"Ina Af-Diinle Apartments","Hotels & Hospitality",apartment,9.51762,44.07401,"Hargeisa"
7252873985,"Sugaal Hotel","Hotels & Hospitality",hotel,9.55997,44.0621,"Hargeisa"
8040586785,"Malwaal","Hotels & Hospitality",alpine_hut,9.56593,43.96797,"Hargeisa"
8152038617,"SKY MOTORES","Hotels & Hospitality",attraction,9.56142,44.09667,"Road Number 1 / طريق رقم 1"
8254657517,"Magan Residence","Hotels & Hospitality",apartment,9.56453,44.12163,"Hargeisa"
8330025518,"Mango Garden","Hotels & Hospitality",hotel,9.55616,44.05332,"Hargeisa"
8330176817,"ASSOD Hotel","Hotels & Hospitality",hotel,9.56281,44.04685,"Hargeisa"
8447952317,"احمد ضاض فيلا","Hotels & Hospitality",guest_house,9.53784,44.05761,"Hargeisa"
8447952318,"East of Africa Hotel","Hotels & Hospitality",hotel,9.55533,44.0687,"طريق المطار"
8447952417,"ضاض","Hotels & Hospitality",viewpoint,9.53803,44.05804,"Hargeisa"
8933888117,"majlis","Hotels & Hospitality",apartment,9.57379,44.05305,"Hargeisa"
9604296717,"HOTEL AIDED","Hotels & Hospitality",hotel,9.55056,44.0659,"Hargeisa"
9959444321,"Tls pp kaab school","Hotels & Hospitality",viewpoint,9.58219,44.0268,"Hargeisa"
9959444326,"Gudoomiye Maxamuud 1","Hotels & Hospitality",viewpoint,9.59676,44.00005,"Hargeisa"
9959463619,"Warsan relief","Hotels & Hospitality",viewpoint,9.51586,44.07483,"Hargeisa"
9959463724,"Maxamuud xaji","Hotels & Hospitality",viewpoint,9.59955,43.99957,"Hargeisa"
9959463725,"Sheekh macruuf roud","Hotels & Hospitality",viewpoint,9.58689,44.04997,"Hargeisa"
9959463819,"Caawiye GPS","Hotels & Hospitality",viewpoint,9.56167,44.06935,"Hargeisa"
9959464018,"Barakaca","Hotels & Hospitality",viewpoint,9.61381,44.10655,"Hargeisa"
9959464019,"Nagiib 3","Hotels & Hospitality",viewpoint,9.59248,44.08279,"Hargeisa"
9959464121,"Gudoomiye maxamuud 2baloodh","Hotels & Hospitality",viewpoint,9.60109,44.00763,"Hargeisa"
9970557667,"Ťauxărnaićă","Hotels & Hospitality",viewpoint,9.55845,44.0588,"Hargeisa"
9970580393,"Jaromar","Hotels & Hospitality",viewpoint,9.55822,44.05858,"Hargeisa"
9970580394,"POLABIJĂ","Hotels & Hospitality",viewpoint,9.55876,44.05882,"Hargeisa"
10942474507,"wado Maxamuud Cumar","Hotels & Hospitality",guest_house,9.61219,44.02707,"Hargeisa"
10998229605,"nagiib's home","Hotels & Hospitality",apartment,9.5739,44.05335,"Hargeisa"
11041838905,"Bootoday ilma cali cumar","Hotels & Hospitality",apartment,9.60654,44.02859,"Hargeisa"
11663044236,"Beder Hotel Hargeisa","Hotels & Hospitality",hotel,9.56216,44.06057,"Timo Cadde Road"
12701988601,"Shiine Farta","Hotels & Hospitality",viewpoint,9.59043,44.12016,"Hargeisa"
13787014903,"gadiid bila","Hotels & Hospitality",viewpoint,9.59916,44.02933,"Hargeisa"
13787014905,"hema books","Hotels & Hospitality",viewpoint,9.56381,44.0608,"Hargeisa"
